41;Пётр Первый;NenavizhuLOL@gmail.com;(983)637-71-24;8;Осло;Тверская улица;Клавиатура;27938;QI3C25B9Sr;KIX7OYNNm6
42;Осип Карлов;NyuhayBebru@mail.ru;(741)465-59-91;2;Гуанчжоу;Улина Красных;Мышка;4320;SSeULHK0zI;1rO2P3vI9I
43;Флома Рисова;YaDeadOutsider@gmail.com;(900)797-56-85;12;Барселона;Дворцовая площадь;Шавбра;27281;YYCIJLL7vB;mJ1TF46BI7
44;Кирилл Рыготин;YaDeadOutsider@gmail.com;(025)851-00-60;11;;Невская;Процессоры;27093;mGSL6KU8SP;H9S5IOFPY3
41;Артём Психолов;YaDiankka!@yandex.ru;(200)576-89-22;5;Амстердам;Орчард-роуд;Куллеры;36129;2LKKHUFvOD;08U01G5HBv
42;Наталья сидорова;Devil666@mail.ru;(593)273-01-91;10;Саранск;Орчард-роуд;Куллеры;18104;Iv9m8W7ezY;AeSeAF4Iz8
43;Осип Карлов;Hesusechek@gmail.com;(741)465-59-91;4;Майями;Красная улица;Мышка;5683;TOFCLTFHTr;08U01G5HBv
44;Доборыня Ильич;NyuhayBebru@mail.ru;(983)637-71-24;14;Барселона;Улица Лузана;Шавбра;11770;TSFLYHOIDY;JG4QYz1AAm
45;Доборыня Ильич;Hesusechek@gmail.com;(900)797-56-85;12;Сингапур;Тверская улица;Мышка;18368;0eQzYSC0vY;43Y323PXU0
46;Наталья сидорова;0g0YaUmnaya@gmail.com;(200)576-89-22;9;Барселона;Улица Лузана;Мышка;14579;1SKKJBHmWQ;P8QTrIvDKU
47;Вероника Вульвова;NenavizhuLOL@gmail.com;(814)393-72-48;0;Краснодар;Улина Красных;Кресло;34740;TOFCLTFHTr;JJOUSFFYNX
48;Доборыня Ильич;NenavizhuLOL@gmail.com;(741)465-59-91;0;Гуанчжоу;Тверская улица;Мышка;36878;54CmKIB5KG;08U01G5HBv
49;Прокофья Солнцелюбова;Devil666@mail.ru;(900)797-56-85;13;Дели;Невская;Клавиатура;35207;0O0TP38PzW;NDSW5BL2NW
