Id;Name;Email;Phone;Age;City;Street;Tag;Price;CustomerId;ProductId
1;Эдуард Устинов;StanislavTrofimov65@hotmail.com;(935)190-01-13;18;Астрахань;площадь Почтовая;Автомобиль;3200000;vbUHVjazD6;MC944605088137P5476B1ULO175
2;Лаврентий Евсеев;Dmitrii.Sorokina@ya.ru;(978)346-83-79;22;Киров;Подгорная проспект;Куртка;20000;MmSKTicFnu;GB03FUGN71200772200944
4;Оксана Абрамова;ValentinaTeterin63@gmail.com;(931)406-55-16;52;Казань;ул. Московская;Ботинок;4500;e8aBaPZvyG;GB46SAPZ49624309004992
7;Ольга Тарасова;GrigoriiDanilova32@gmail.com;(938)181-28-71;22;Брянск;Комарова улица;Кулон;30000;WaKUoI8chO;GT47964389H7TA8C90GR235A0073
9;Антон Цветков;Arina3@hotmail.com;(917)163-63-86;25;Барнаул;Шевченко площадь;Плащ;3000;vMVV;GR7417005362212418150E6C630
12;Даниил Матвеев;Georgii.Shestakov@gmail.com;(929)302-68-11;15;Липецк;Речная улица;Кулон;4000;tW9JcKoFZB;MU23ICRD500BG6000210592014CRW
13;Андрей Богданов;Eduard31@mail.ru;(939)427-46-54;23;Омск;площадь Березовая;Кулон;3000;r9s9Stwc1c;PK9210707898570009104748
14;Владислав Беляев;Margarita28@yandex.ru;(967)788-10-59;22;Курск;пл. Лесная;Компьютер;120000;7xqI8O7i0a;GT443Z2W16209M0D6QX65722SR04
15;Михаил Юдин;Viktor.Lobanov@yahoo.com;(993)792-22-76;56;Тула;улица Труда;Кулон;12000;J2OoCfJqXt;KZ038407911362398394
16;Георгий Кудрявцев;SvetlanaIvanov66@yahoo.com;(950)932-55-15;47;Брянск;Шевченко пр.;Клатч;2500;XfQyST2fgB;BG14LZRB32002001806PIS
18;Эдуард Дементьев;Antonina.Gushin3@gmail.com;(905)071-16-53;18;Владимир;ул. Ленина;Плащ;3000;KUClJvp3vz;AT4724CR249130626059
19;Роман Борисов;Valentina.Pavlov67@yandex.ru;(915)429-94-40;23;Сочи;пр. Труда;Шарф;4000;cd6ZjjJHs;AZ32369200397801303910611098
22;Регина Родионова;Svetlana82@ya.ru;(978)231-07-99;25;Киров;улица Суворова;Клатч;10020;MmSKT5cFnu;GB03FUGN772200944
23;Виталий Колобов;Yurii70@yahoo.com;(987)551-51-08;26;Иваново;проспект Энергетиков;Стол;50000;2K56UTI;PK37458247765404090024
28;Григорий Селиверстов;Mikhail24@yandex.ru;(930)800-38-94;16;Чебоксары;площадь Чкалова;Куртка;25000;WaKUoI8chO;4389H7TA8C90GR235A0073
29;Анатолий Пономарев;Georgii.Tikhonova18@ya.ru;(949)581-35-88;65;Курск;площадь Совхозная;Компьютер;235000;EbUdr58oCv3;CR47731
31;Георгий Громов;Elizaveta53@hotmail.com;(979)102-43-88;14;Кемерово;Озерная пр.;Клатч;20000;H4QAjigX45hoq;120018291030901661G4
34;Антон Блинов;Vladimir.Kononova41@yandex.ru;(992)101-88-80;29;Ижевск;ул. речень улиц;Кулон;3600;r945s9Stwc1c;PK921070789857008
36;Алексей Беляев;Marina16@yahoo.com;(916)678-86-21;28;Саратов;Ленина проспект;Куртка;60000;J2OoC45fJqXt;KZ038407911362398394
40;Валерия Петухова;Valeriya.Gavrilova@yandex.ru;(944)525-08-27;52;Москва;Молодежная улица;Компьютер;84000;cd6Zj6445jJHs;AZ323692003978013
